Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Netherlands,38,Good,1,Good,29,Good,5,Good,38,Good
Belgium,43,Good,1,Good,38,Good,2,Good,43,Good
India,168,Unhealthy,4,Good,167,Unhealthy,1,Good,168,Unhealthy
United States of America,58,Moderate,1,Good,10,Good,15,Good,58,Moderate
Norway,39,Good,1,Good,39,Good,0,Good,14,Good
Mexico,107,Unhealthy for Sensitive Groups,2,Good,17,Good,3,Good,107,Unhealthy for Sensitive Groups
Thailand,22,Good,0,Good,22,Good,0,Good,17,Good
Pakistan,168,Unhealthy,3,Good,168,Unhealthy,1,Good,152,Unhealthy
India,86,Moderate,3,Good,60,Moderate,1,Good,86,Moderate
Thailand,45,Good,1,Good,26,Good,0,Good,45,Good
Guatemala,77,Moderate,2,Good,7,Good,5,Good,77,Moderate
India,31,Good,1,Good,26,Good,0,Good,31,Good
Philippines,62,Moderate,1,Good,25,Good,2,Good,62,Moderate
Greece,88,Moderate,1,Good,44,Good,0,Good,88,Moderate
India,151,Unhealthy,2,Good,117,Unhealthy for Sensitive Groups,0,Good,151,Unhealthy
Italy,61,Moderate,1,Good,38,Good,3,Good,61,Moderate
Colombia,32,Good,1,Good,5,Good,1,Good,32,Good
Indonesia,123,Unhealthy for Sensitive Groups,4,Good,123,Unhealthy for Sensitive Groups,1,Good,123,Unhealthy for Sensitive Groups
United States of America,62,Moderate,2,Good,27,Good,7,Good,62,Moderate
Indonesia,39,Good,1,Good,16,Good,0,Good,39,Good
Spain,39,Good,1,Good,24,Good,3,Good,39,Good
Mexico,54,Moderate,1,Good,29,Good,3,Good,54,Moderate
United States of America,73,Moderate,2,Good,3,Good,20,Good,73,Moderate
Thailand,43,Good,0,Good,25,Good,0,Good,43,Good
Germany,55,Moderate,1,Good,30,Good,5,Good,55,Moderate
Poland,33,Good,1,Good,33,Good,1,Good,27,Good
France,51,Moderate,2,Good,16,Good,15,Good,51,Moderate
Ukraine,37,Good,1,Good,37,Good,0,Good,12,Good
Venezuela (Bolivarian Republic of),113,Unhealthy for Sensitive Groups,1,Good,20,Good,1,Good,113,Unhealthy for Sensitive Groups
United States of America,57,Moderate,1,Good,26,Good,8,Good,57,Moderate
Brazil,26,Good,1,Good,17,Good,2,Good,26,Good
Italy,71,Moderate,1,Good,46,Good,1,Good,71,Moderate
France,45,Good,1,Good,45,Good,1,Good,22,Good
United States of America,40,Good,1,Good,32,Good,4,Good,40,Good
China,206,Very Unhealthy,12,Good,3,Good,51,Moderate,206,Very Unhealthy
China,155,Unhealthy,6,Good,66,Moderate,19,Good,155,Unhealthy
China,168,Unhealthy,6,Good,67,Moderate,18,Good,168,Unhealthy
China,56,Moderate,1,Good,24,Good,5,Good,56,Moderate
Japan,82,Moderate,2,Good,15,Good,13,Good,82,Moderate
Netherlands,31,Good,1,Good,31,Good,2,Good,23,Good
United States of America,39,Good,1,Good,39,Good,1,Good,27,Good
Iran (Islamic Republic of),72,Moderate,1,Good,46,Good,0,Good,72,Moderate
Iran (Islamic Republic of),109,Unhealthy for Sensitive Groups,1,Good,105,Unhealthy for Sensitive Groups,0,Good,109,Unhealthy for Sensitive Groups
Turkey,34,Good,1,Good,34,Good,0,Good,31,Good
Democratic Republic of the Congo,66,Moderate,3,Good,8,Good,0,Good,66,Moderate
Spain,28,Good,1,Good,17,Good,5,Good,28,Good
Iran (Islamic Republic of),68,Moderate,1,Good,45,Good,0,Good,68,Moderate
Switzerland,61,Moderate,2,Good,21,Good,5,Good,61,Moderate
Mexico,53,Moderate,1,Good,15,Good,3,Good,53,Moderate
Germany,64,Moderate,1,Good,39,Good,2,Good,64,Moderate
Netherlands,58,Moderate,1,Good,36,Good,4,Good,58,Moderate
Mali,113,Unhealthy for Sensitive Groups,1,Good,21,Good,1,Good,113,Unhealthy for Sensitive Groups
Netherlands,38,Good,1,Good,33,Good,4,Good,38,Good
Brazil,48,Good,1,Good,7,Good,3,Good,48,Good
Mexico,57,Moderate,2,Good,19,Good,2,Good,57,Moderate
Libya,183,Unhealthy,1,Good,41,Good,0,Good,183,Unhealthy
Ethiopia,74,Moderate,1,Good,28,Good,0,Good,74,Moderate
Italy,65,Moderate,1,Good,32,Good,2,Good,65,Moderate
Spain,40,Good,1,Good,26,Good,6,Good,40,Good
United States of America,60,Moderate,2,Good,22,Good,9,Good,60,Moderate
Colombia,56,Moderate,1,Good,7,Good,3,Good,56,Moderate
India,46,Good,1,Good,26,Good,0,Good,46,Good
Portugal,29,Good,1,Good,29,Good,3,Good,19,Good
Nigeria,73,Moderate,2,Good,22,Good,1,Good,73,Moderate
Colombia,60,Moderate,2,Good,7,Good,3,Good,60,Moderate
United States of America,64,Moderate,2,Good,13,Good,19,Good,64,Moderate
Germany,55,Moderate,1,Good,36,Good,3,Good,55,Moderate
United States of America,35,Good,1,Good,31,Good,7,Good,35,Good
United Kingdom of Great Britain and Northern Ireland,38,Good,1,Good,38,Good,3,Good,14,Good
Russian Federation,32,Good,1,Good,32,Good,0,Good,7,Good
Indonesia,159,Unhealthy,3,Good,135,Unhealthy for Sensitive Groups,1,Good,159,Unhealthy
Germany,36,Good,1,Good,33,Good,2,Good,36,Good
Ukraine,37,Good,1,Good,34,Good,1,Good,37,Good
France,24,Good,0,Good,24,Good,1,Good,17,Good
Poland,76,Moderate,1,Good,42,Good,0,Good,76,Moderate
United States of America,103,Unhealthy for Sensitive Groups,5,Good,6,Good,41,Good,103,Unhealthy for Sensitive Groups
Belgium,36,Good,1,Good,32,Good,3,Good,36,Good
United States of America,72,Moderate,1,Good,16,Good,13,Good,72,Moderate
Colombia,39,Good,1,Good,3,Good,3,Good,39,Good
Mexico,83,Moderate,2,Good,14,Good,3,Good,83,Moderate
Venezuela (Bolivarian Republic of),53,Moderate,1,Good,13,Good,1,Good,53,Moderate
Israel,103,Unhealthy for Sensitive Groups,1,Good,45,Good,1,Good,103,Unhealthy for Sensitive Groups
United States of America,73,Moderate,2,Good,14,Good,19,Good,73,Moderate
United States of America,65,Moderate,2,Good,6,Good,10,Good,65,Moderate
Mexico,61,Moderate,1,Good,28,Good,1,Good,61,Moderate
Brazil,26,Good,1,Good,19,Good,0,Good,26,Good
Germany,41,Good,1,Good,36,Good,1,Good,41,Good
Turkey,54,Moderate,1,Good,34,Good,0,Good,54,Moderate
United States of America,67,Moderate,2,Good,17,Good,16,Good,67,Moderate
India,193,Unhealthy,3,Good,166,Unhealthy,1,Good,193,Unhealthy
Turkey,41,Good,1,Good,34,Good,0,Good,41,Good
Mexico,69,Moderate,1,Good,12,Good,2,Good,69,Moderate
United States of America,51,Moderate,1,Good,42,Good,3,Good,51,Moderate
United States of America,57,Moderate,2,Good,34,Good,11,Good,57,Moderate
Italy,41,Good,1,Good,41,Good,2,Good,38,Good
United States of America,81,Moderate,3,Good,7,Good,22,Good,81,Moderate
Finland,43,Good,1,Good,43,Good,2,Good,38,Good
Russian Federation,45,Good,1,Good,27,Good,0,Good,45,Good
Japan,43,Good,1,Good,43,Good,1,Good,38,Good
India,153,Unhealthy,0,Good,25,Good,0,Good,153,Unhealthy
India,151,Unhealthy,4,Good,151,Unhealthy,2,Good,144,Unhealthy for Sensitive Groups
Canada,31,Good,1,Good,31,Good,2,Good,16,Good
United States of America,39,Good,1,Good,22,Good,7,Good,39,Good
Morocco,49,Good,1,Good,32,Good,6,Good,49,Good
United States of America,24,Good,0,Good,24,Good,1,Good,19,Good
Iran (Islamic Republic of),155,Unhealthy,1,Good,55,Moderate,1,Good,155,Unhealthy
Ukraine,36,Good,1,Good,36,Good,2,Good,18,Good
Russian Federation,34,Good,1,Good,34,Good,0,Good,23,Good
United States of America,39,Good,1,Good,39,Good,3,Good,26,Good
Kenya,150,Unhealthy,10,Good,28,Good,6,Good,150,Unhealthy
Ukraine,44,Good,1,Good,39,Good,0,Good,44,Good
India,102,Unhealthy for Sensitive Groups,1,Good,22,Good,2,Good,102,Unhealthy for Sensitive Groups
India,79,Moderate,1,Good,24,Good,0,Good,79,Moderate
Ukraine,42,Good,1,Good,42,Good,0,Good,42,Good
Iceland,23,Good,1,Good,23,Good,0,Good,21,Good
Burkina Faso,55,Moderate,1,Good,17,Good,0,Good,55,Moderate
Russian Federation,33,Good,1,Good,33,Good,0,Good,29,Good
Cambodia,50,Good,1,Good,27,Good,0,Good,50,Good
Indonesia,203,Very Unhealthy,4,Good,203,Very Unhealthy,4,Good,158,Unhealthy
Nigeria,57,Moderate,2,Good,21,Good,0,Good,57,Moderate
Japan,34,Good,1,Good,34,Good,3,Good,19,Good
Turkey,44,Good,1,Good,44,Good,0,Good,27,Good
Philippines,42,Good,0,Good,13,Good,0,Good,42,Good
United States of America,44,Good,1,Good,37,Good,4,Good,44,Good
Italy,77,Moderate,1,Good,43,Good,4,Good,77,Moderate
Switzerland,41,Good,1,Good,22,Good,3,Good,41,Good
China,149,Unhealthy for Sensitive Groups,4,Good,149,Unhealthy for Sensitive Groups,2,Good,120,Unhealthy for Sensitive Groups
Zambia,27,Good,1,Good,17,Good,0,Good,27,Good
Italy,69,Moderate,1,Good,45,Good,2,Good,69,Moderate
Cameroon,73,Moderate,2,Good,26,Good,0,Good,73,Moderate
Mexico,47,Good,1,Good,9,Good,3,Good,47,Good
France,40,Good,1,Good,23,Good,3,Good,40,Good
United Kingdom of Great Britain and Northern Ireland,33,Good,0,Good,33,Good,1,Good,10,Good
China,200,Unhealthy,3,Good,200,Unhealthy,1,Good,109,Unhealthy for Sensitive Groups
Belgium,46,Good,1,Good,30,Good,3,Good,46,Good
Sweden,36,Good,0,Good,36,Good,0,Good,14,Good
Sierra Leone,71,Moderate,1,Good,22,Good,0,Good,71,Moderate
Russian Federation,69,Moderate,1,Good,24,Good,11,Good,69,Moderate
United States of America,118,Unhealthy for Sensitive Groups,4,Good,3,Good,41,Good,118,Unhealthy for Sensitive Groups
France,107,Unhealthy for Sensitive Groups,2,Good,24,Good,4,Good,107,Unhealthy for Sensitive Groups
Russian Federation,36,Good,1,Good,36,Good,0,Good,22,Good
Japan,47,Good,1,Good,47,Good,0,Good,38,Good
Hungary,67,Moderate,1,Good,39,Good,0,Good,67,Moderate
India,60,Moderate,1,Good,28,Good,2,Good,60,Moderate
Mexico,71,Moderate,2,Good,8,Good,6,Good,71,Moderate
Spain,34,Good,1,Good,19,Good,4,Good,34,Good
Japan,40,Good,1,Good,40,Good,1,Good,16,Good
France,58,Moderate,1,Good,22,Good,4,Good,58,Moderate
Russian Federation,48,Good,1,Good,48,Good,1,Good,33,Good
Italy,39,Good,1,Good,28,Good,4,Good,39,Good
France,72,Moderate,2,Good,20,Good,6,Good,72,Moderate
Italy,74,Moderate,2,Good,37,Good,7,Good,74,Moderate
Italy,50,Good,1,Good,47,Good,2,Good,50,Good
Belgium,42,Good,1,Good,30,Good,4,Good,42,Good
Pakistan,161,Unhealthy,3,Good,129,Unhealthy for Sensitive Groups,1,Good,161,Unhealthy
Brazil,83,Moderate,2,Good,11,Good,4,Good,83,Moderate
Thailand,21,Good,0,Good,21,Good,0,Good,17,Good
Germany,46,Good,1,Good,41,Good,2,Good,46,Good
Germany,52,Moderate,1,Good,45,Good,2,Good,52,Moderate
United States of America,73,Moderate,2,Good,30,Good,8,Good,73,Moderate
Italy,54,Moderate,1,Good,54,Moderate,2,Good,51,Moderate
France,46,Good,0,Good,46,Good,0,Good,15,Good
Serbia,49,Good,1,Good,33,Good,0,Good,49,Good
Finland,43,Good,1,Good,38,Good,4,Good,43,Good
China,58,Moderate,1,Good,39,Good,8,Good,58,Moderate
Libya,46,Good,1,Good,40,Good,0,Good,46,Good
United States of America,154,Unhealthy,3,Good,15,Good,5,Good,154,Unhealthy
Japan,38,Good,1,Good,38,Good,1,Good,28,Good
United Republic of Tanzania,33,Good,1,Good,15,Good,0,Good,33,Good
India,174,Unhealthy,1,Good,37,Good,0,Good,174,Unhealthy
Italy,68,Moderate,1,Good,42,Good,5,Good,68,Moderate
Italy,44,Good,1,Good,29,Good,3,Good,44,Good
Belgium,56,Moderate,1,Good,27,Good,4,Good,56,Moderate
Italy,82,Moderate,1,Good,39,Good,3,Good,82,Moderate
France,150,Unhealthy,1,Good,34,Good,2,Good,150,Unhealthy
Brazil,14,Good,0,Good,14,Good,0,Good,9,Good
Belgium,42,Good,1,Good,27,Good,5,Good,42,Good
Japan,50,Good,1,Good,46,Good,2,Good,50,Good
France,150,Unhealthy,1,Good,30,Good,2,Good,150,Unhealthy
Malawi,50,Good,1,Good,19,Good,0,Good,50,Good
Uganda,68,Moderate,2,Good,14,Good,0,Good,68,Moderate
India,177,Unhealthy,1,Good,46,Good,0,Good,177,Unhealthy
United Republic of Tanzania,22,Good,0,Good,16,Good,0,Good,22,Good
Ukraine,41,Good,1,Good,41,Good,0,Good,22,Good
Denmark,36,Good,0,Good,36,Good,0,Good,17,Good
Libya,191,Unhealthy,1,Good,27,Good,0,Good,191,Unhealthy
Philippines,42,Good,1,Good,35,Good,0,Good,42,Good
Uganda,58,Moderate,1,Good,20,Good,0,Good,58,Moderate
Netherlands,36,Good,1,Good,34,Good,2,Good,36,Good
Belgium,37,Good,1,Good,30,Good,3,Good,37,Good
Paraguay,20,Good,1,Good,8,Good,0,Good,20,Good
India,174,Unhealthy,3,Good,156,Unhealthy,3,Good,174,Unhealthy
United States of America,60,Moderate,2,Good,14,Good,20,Good,60,Moderate
United States of America,65,Moderate,1,Good,34,Good,1,Good,65,Moderate
United States of America,42,Good,1,Good,40,Good,6,Good,42,Good
United States of America,38,Good,1,Good,27,Good,6,Good,38,Good
United States of America,53,Moderate,1,Good,12,Good,10,Good,53,Moderate
Zimbabwe,68,Moderate,3,Good,15,Good,1,Good,68,Moderate
Poland,86,Moderate,1,Good,36,Good,1,Good,86,Moderate
France,55,Moderate,2,Good,28,Good,3,Good,55,Moderate
Germany,69,Moderate,1,Good,36,Good,3,Good,69,Moderate
Romania,68,Moderate,1,Good,38,Good,1,Good,68,Moderate
Brazil,45,Good,1,Good,11,Good,0,Good,45,Good
Poland,75,Moderate,1,Good,39,Good,1,Good,75,Moderate
United States of America,55,Moderate,2,Good,25,Good,10,Good,55,Moderate
Bangladesh,65,Moderate,1,Good,32,Good,1,Good,65,Moderate
Brazil,32,Good,1,Good,6,Good,2,Good,32,Good
China,81,Moderate,2,Good,40,Good,4,Good,81,Moderate
Mexico,58,Moderate,1,Good,11,Good,4,Good,58,Moderate
United States of America,46,Good,1,Good,30,Good,3,Good,46,Good
Italy,67,Moderate,1,Good,28,Good,4,Good,67,Moderate
France,71,Moderate,2,Good,27,Good,6,Good,71,Moderate
Italy,60,Moderate,2,Good,47,Good,8,Good,60,Moderate
Poland,74,Moderate,1,Good,40,Good,2,Good,74,Moderate
United Kingdom of Great Britain and Northern Ireland,28,Good,1,Good,28,Good,2,Good,15,Good
United States of America,38,Good,1,Good,38,Good,4,Good,33,Good
Turkey,41,Good,1,Good,41,Good,0,Good,28,Good
Germany,64,Moderate,2,Good,29,Good,8,Good,64,Moderate
Colombia,40,Good,1,Good,17,Good,0,Good,40,Good
Egypt,109,Unhealthy for Sensitive Groups,2,Good,47,Good,4,Good,109,Unhealthy for Sensitive Groups
Egypt,117,Unhealthy for Sensitive Groups,2,Good,74,Moderate,7,Good,117,Unhealthy for Sensitive Groups
United States of America,61,Moderate,2,Good,33,Good,6,Good,61,Moderate
Switzerland,52,Moderate,1,Good,30,Good,1,Good,52,Moderate
South Africa,151,Unhealthy,7,Good,14,Good,6,Good,151,Unhealthy
Japan,55,Moderate,1,Good,46,Good,2,Good,55,Moderate
Czechia,65,Moderate,1,Good,37,Good,1,Good,65,Moderate
Belgium,67,Moderate,1,Good,28,Good,7,Good,67,Moderate
United States of America,48,Good,1,Good,31,Good,5,Good,48,Good
Cuba,54,Moderate,1,Good,23,Good,3,Good,54,Moderate
United States of America,103,Unhealthy for Sensitive Groups,2,Good,7,Good,14,Good,103,Unhealthy for Sensitive Groups
Thailand,42,Good,1,Good,25,Good,0,Good,42,Good
Mexico,30,Good,0,Good,30,Good,2,Good,3,Good
France,55,Moderate,1,Good,34,Good,1,Good,55,Moderate
South Africa,150,Unhealthy,6,Good,29,Good,5,Good,150,Unhealthy
United States of America,48,Good,0,Good,24,Good,0,Good,48,Good
India,181,Unhealthy,4,Good,181,Unhealthy,2,Good,176,Unhealthy
Madagascar,41,Good,1,Good,16,Good,0,Good,41,Good
United States of America,63,Moderate,2,Good,35,Good,9,Good,63,Moderate
Brazil,23,Good,1,Good,15,Good,2,Good,23,Good
Germany,71,Moderate,2,Good,36,Good,5,Good,71,Moderate
Brazil,60,Moderate,1,Good,6,Good,2,Good,60,Moderate
United States of America,77,Moderate,2,Good,17,Good,21,Good,77,Moderate
Germany,57,Moderate,1,Good,32,Good,4,Good,57,Moderate
China,43,Good,1,Good,43,Good,0,Good,38,Good
France,30,Good,1,Good,24,Good,8,Good,30,Good
Germany,59,Moderate,1,Good,25,Good,6,Good,59,Moderate
Turkey,57,Moderate,1,Good,38,Good,0,Good,57,Moderate
Colombia,46,Good,1,Good,10,Good,4,Good,46,Good
Mexico,76,Moderate,3,Good,3,Good,7,Good,76,Moderate
Kenya,82,Moderate,2,Good,23,Good,0,Good,82,Moderate
Italy,67,Moderate,1,Good,37,Good,4,Good,67,Moderate
Brazil,51,Moderate,1,Good,7,Good,3,Good,51,Moderate
Japan,26,Good,0,Good,26,Good,1,Good,22,Good
Japan,52,Moderate,1,Good,43,Good,2,Good,52,Moderate
Spain,25,Good,1,Good,19,Good,3,Good,25,Good
United States of America,45,Good,2,Good,45,Good,6,Good,45,Good
Italy,63,Moderate,1,Good,35,Good,3,Good,63,Moderate
Mozambique,25,Good,0,Good,20,Good,0,Good,25,Good
Italy,52,Moderate,2,Good,45,Good,5,Good,52,Moderate
Canada,68,Moderate,1,Good,22,Good,5,Good,68,Moderate
United States of America,41,Good,1,Good,41,Good,2,Good,38,Good
Switzerland,63,Moderate,1,Good,24,Good,2,Good,63,Moderate
France,52,Moderate,1,Good,32,Good,5,Good,52,Moderate
Russian Federation,61,Moderate,1,Good,45,Good,0,Good,61,Moderate
Greece,97,Moderate,1,Good,39,Good,6,Good,97,Moderate
Dominican Republic,124,Unhealthy for Sensitive Groups,1,Good,12,Good,6,Good,124,Unhealthy for Sensitive Groups
Israel,90,Moderate,2,Good,43,Good,5,Good,90,Moderate
Burundi,61,Moderate,3,Good,21,Good,1,Good,61,Moderate
Netherlands,30,Good,1,Good,25,Good,5,Good,30,Good
Italy,56,Moderate,1,Good,34,Good,3,Good,56,Moderate
United States of America,44,Good,1,Good,10,Good,5,Good,44,Good
Finland,34,Good,1,Good,34,Good,1,Good,17,Good
China,84,Moderate,2,Good,84,Moderate,1,Good,81,Moderate
United States of America,66,Moderate,2,Good,14,Good,25,Good,66,Moderate
United States of America,50,Good,1,Good,13,Good,12,Good,50,Good
Italy,68,Moderate,1,Good,31,Good,4,Good,68,Moderate
Nicaragua,43,Good,1,Good,19,Good,0,Good,43,Good
Central African Republic,26,Good,2,Good,7,Good,0,Good,26,Good
United States of America,46,Good,1,Good,27,Good,5,Good,46,Good
Mexico,48,Good,1,Good,25,Good,2,Good,48,Good
Poland,55,Moderate,1,Good,36,Good,1,Good,55,Moderate
Germany,58,Moderate,1,Good,37,Good,2,Good,58,Moderate
United States of America,52,Moderate,1,Good,39,Good,3,Good,52,Moderate
France,46,Good,1,Good,36,Good,2,Good,46,Good
Germany,62,Moderate,1,Good,28,Good,6,Good,62,Moderate
Germany,69,Moderate,1,Good,27,Good,4,Good,69,Moderate
Viet Nam,154,Unhealthy,4,Good,154,Unhealthy,1,Good,145,Unhealthy for Sensitive Groups
Mexico,197,Unhealthy,2,Good,8,Good,12,Good,197,Unhealthy
China,202,Very Unhealthy,3,Good,202,Very Unhealthy,10,Good,153,Unhealthy
Belgium,63,Moderate,1,Good,31,Good,5,Good,63,Moderate
United States of America,55,Moderate,2,Good,19,Good,7,Good,55,Moderate
Russian Federation,27,Good,1,Good,27,Good,0,Good,19,Good
Tajikistan,90,Moderate,1,Good,66,Moderate,0,Good,90,Moderate
Germany,58,Moderate,1,Good,40,Good,1,Good,58,Moderate
Russian Federation,45,Good,1,Good,28,Good,0,Good,45,Good
Italy,65,Moderate,1,Good,37,Good,2,Good,65,Moderate
Spain,36,Good,1,Good,32,Good,1,Good,36,Good
United States of America,60,Moderate,1,Good,23,Good,12,Good,60,Moderate
France,62,Moderate,1,Good,33,Good,1,Good,62,Moderate
France,53,Moderate,1,Good,32,Good,2,Good,53,Moderate
France,36,Good,1,Good,28,Good,3,Good,36,Good
Bosnia and Herzegovina,71,Moderate,1,Good,41,Good,0,Good,71,Moderate
Slovakia,79,Moderate,1,Good,41,Good,1,Good,79,Moderate
Germany,69,Moderate,1,Good,36,Good,3,Good,69,Moderate
Russian Federation,38,Good,1,Good,38,Good,0,Good,4,Good
Brazil,45,Good,1,Good,11,Good,5,Good,45,Good
Kazakhstan,34,Good,1,Good,34,Good,0,Good,19,Good
Kazakhstan,40,Good,1,Good,40,Good,0,Good,34,Good
Japan,67,Moderate,1,Good,67,Moderate,2,Good,61,Moderate
Germany,65,Moderate,1,Good,36,Good,2,Good,65,Moderate
India,163,Unhealthy,1,Good,43,Good,0,Good,163,Unhealthy
Nigeria,65,Moderate,2,Good,29,Good,1,Good,65,Moderate
Italy,79,Moderate,2,Good,22,Good,5,Good,79,Moderate
India,30,Good,1,Good,22,Good,0,Good,30,Good
Netherlands,54,Moderate,1,Good,35,Good,4,Good,54,Moderate
Angola,103,Unhealthy for Sensitive Groups,2,Good,31,Good,1,Good,103,Unhealthy for Sensitive Groups
Germany,71,Moderate,1,Good,37,Good,2,Good,71,Moderate
Turkey,41,Good,1,Good,38,Good,0,Good,41,Good
Indonesia,67,Moderate,1,Good,36,Good,1,Good,67,Moderate
United States of America,55,Moderate,1,Good,16,Good,3,Good,55,Moderate
Italy,67,Moderate,1,Good,36,Good,4,Good,67,Moderate
Russian Federation,39,Good,1,Good,39,Good,0,Good,38,Good
Spain,25,Good,0,Good,25,Good,0,Good,9,Good
Mexico,54,Moderate,1,Good,26,Good,1,Good,54,Moderate
Brazil,19,Good,1,Good,8,Good,1,Good,19,Good
Spain,47,Good,2,Good,32,Good,4,Good,47,Good
Mexico,176,Unhealthy,3,Good,8,Good,9,Good,176,Unhealthy
Thailand,41,Good,0,Good,18,Good,0,Good,41,Good
China,47,Good,2,Good,37,Good,0,Good,47,Good
Belgium,51,Moderate,1,Good,36,Good,3,Good,51,Moderate
India,50,Good,1,Good,33,Good,0,Good,50,Good
Russian Federation,40,Good,1,Good,40,Good,0,Good,28,Good
United States of America,90,Moderate,2,Good,17,Good,18,Good,90,Moderate
United States of America,69,Moderate,2,Good,25,Good,12,Good,69,Moderate
United Kingdom of Great Britain and Northern Ireland,35,Good,1,Good,35,Good,3,Good,17,Good
Netherlands,53,Moderate,1,Good,35,Good,5,Good,53,Moderate
United States of America,91,Moderate,3,Good,7,Good,31,Good,91,Moderate
Canada,48,Good,1,Good,18,Good,1,Good,48,Good
Netherlands,61,Moderate,1,Good,26,Good,6,Good,61,Moderate
Russian Federation,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
Russian Federation,32,Good,1,Good,32,Good,0,Good,21,Good
Hungary,64,Moderate,1,Good,37,Good,1,Good,64,Moderate
Thailand,27,Good,0,Good,23,Good,0,Good,27,Good
Malaysia,69,Moderate,2,Good,45,Good,2,Good,69,Moderate
Malaysia,73,Moderate,2,Good,30,Good,1,Good,73,Moderate
Mexico,44,Good,1,Good,24,Good,2,Good,44,Good
Spain,47,Good,1,Good,34,Good,1,Good,47,Good
Bangladesh,66,Moderate,2,Good,27,Good,3,Good,66,Moderate
France,67,Moderate,1,Good,46,Good,1,Good,67,Moderate
Germany,44,Good,1,Good,44,Good,0,Good,33,Good
Iran (Islamic Republic of),124,Unhealthy for Sensitive Groups,1,Good,40,Good,6,Good,124,Unhealthy for Sensitive Groups
Japan,56,Moderate,1,Good,28,Good,8,Good,56,Moderate
Germany,52,Moderate,1,Good,47,Good,0,Good,52,Moderate
Brazil,21,Good,0,Good,21,Good,0,Good,16,Good
Côte d'Ivoire,31,Good,1,Good,20,Good,0,Good,31,Good
Indonesia,160,Unhealthy,5,Good,17,Good,17,Good,160,Unhealthy
Brazil,21,Good,0,Good,21,Good,0,Good,16,Good
Brazil,21,Good,0,Good,21,Good,0,Good,20,Good
Kazakhstan,42,Good,1,Good,19,Good,2,Good,42,Good
China,80,Moderate,4,Good,14,Good,9,Good,80,Moderate
United States of America,59,Moderate,1,Good,39,Good,2,Good,59,Moderate
United States of America,43,Good,1,Good,27,Good,3,Good,43,Good
Germany,60,Moderate,1,Good,60,Moderate,0,Good,60,Moderate
Belgium,51,Moderate,1,Good,38,Good,2,Good,51,Moderate
India,167,Unhealthy,5,Good,26,Good,22,Good,167,Unhealthy
India,166,Unhealthy,2,Good,55,Moderate,0,Good,166,Unhealthy
India,173,Unhealthy,4,Good,57,Moderate,7,Good,173,Unhealthy
Turkey,45,Good,0,Good,45,Good,0,Good,43,Good
Chile,122,Unhealthy for Sensitive Groups,3,Good,3,Good,6,Good,122,Unhealthy for Sensitive Groups
India,160,Unhealthy,3,Good,43,Good,5,Good,160,Unhealthy
United States of America,45,Good,1,Good,41,Good,1,Good,45,Good
Indonesia,225,Very Unhealthy,11,Good,9,Good,63,Moderate,225,Very Unhealthy
Indonesia,97,Moderate,3,Good,2,Good,5,Good,97,Moderate
United States of America,55,Moderate,1,Good,32,Good,1,Good,55,Moderate
Mexico,81,Moderate,1,Good,23,Good,0,Good,81,Moderate
India,171,Unhealthy,5,Good,62,Moderate,6,Good,171,Unhealthy
Mexico,35,Good,0,Good,27,Good,0,Good,35,Good
Belgium,54,Moderate,1,Good,38,Good,1,Good,54,Moderate
United States of America,22,Good,1,Good,20,Good,5,Good,22,Good
Germany,54,Moderate,1,Good,49,Good,0,Good,54,Moderate
Colombia,76,Moderate,2,Good,19,Good,1,Good,76,Moderate
Spain,43,Good,1,Good,43,Good,0,Good,16,Good
United States of America,50,Good,1,Good,26,Good,7,Good,50,Good
Italy,82,Moderate,1,Good,49,Good,0,Good,82,Moderate
Spain,52,Moderate,1,Good,52,Moderate,1,Good,51,Moderate
Rwanda,157,Unhealthy,2,Good,24,Good,1,Good,157,Unhealthy
Germany,54,Moderate,1,Good,48,Good,0,Good,54,Moderate
France,69,Moderate,1,Good,34,Good,1,Good,69,Moderate
United States of America,49,Good,1,Good,49,Good,0,Good,27,Good
Mexico,57,Moderate,1,Good,26,Good,1,Good,57,Moderate
Colombia,97,Moderate,0,Good,27,Good,0,Good,97,Moderate
Spain,43,Good,1,Good,43,Good,0,Good,11,Good
Mexico,53,Moderate,1,Good,30,Good,0,Good,53,Moderate
China,104,Unhealthy for Sensitive Groups,2,Good,8,Good,21,Good,104,Unhealthy for Sensitive Groups
Brazil,61,Moderate,1,Good,24,Good,0,Good,61,Moderate
Philippines,151,Unhealthy,2,Good,25,Good,6,Good,151,Unhealthy
Brazil,50,Good,1,Good,18,Good,1,Good,50,Good
India,169,Unhealthy,3,Good,86,Moderate,5,Good,169,Unhealthy
India,158,Unhealthy,4,Good,46,Good,7,Good,158,Unhealthy
Azerbaijan,79,Moderate,1,Good,46,Good,0,Good,79,Moderate
India,152,Unhealthy,2,Good,28,Good,3,Good,152,Unhealthy
India,154,Unhealthy,2,Good,31,Good,6,Good,154,Unhealthy
Thailand,86,Moderate,2,Good,14,Good,4,Good,86,Moderate
India,77,Moderate,2,Good,20,Good,4,Good,77,Moderate
India,161,Unhealthy,2,Good,48,Good,2,Good,161,Unhealthy
