Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Brazil,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
Philippines,50,Good,0,Good,24,Good,0,Good,50,Good
Brazil,25,Good,0,Good,9,Good,1,Good,25,Good
Nigeria,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
Mexico,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
Brazil,29,Good,0,Good,20,Good,1,Good,29,Good
Brazil,21,Good,0,Good,8,Good,1,Good,21,Good
Brazil,44,Good,1,Good,16,Good,1,Good,44,Good
South Sudan,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
Guatemala,66,Moderate,2,Good,7,Good,6,Good,66,Moderate
United States of America,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
Ireland,57,Moderate,1,Good,26,Good,3,Good,57,Moderate
Turkey,62,Moderate,0,Good,35,Good,0,Good,62,Moderate
Viet Nam,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups
United States of America,49,Good,1,Good,27,Good,4,Good,49,Good
United States of America,55,Moderate,2,Good,25,Good,11,Good,55,Moderate
Russian Federation,34,Good,1,Good,34,Good,0,Good,32,Good
India,80,Moderate,1,Good,25,Good,0,Good,80,Moderate
India,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy
United States of America,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups
United States of America,63,Moderate,2,Good,9,Good,22,Good,63,Moderate
United States of America,53,Moderate,2,Good,27,Good,10,Good,53,Moderate
United States of America,86,Moderate,2,Good,38,Good,10,Good,86,Moderate
China,47,Good,2,Good,47,Good,0,Good,25,Good
China,78,Moderate,2,Good,25,Good,7,Good,78,Moderate
China,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate
China,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups
Peru,27,Good,0,Good,6,Good,1,Good,27,Good
China,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy
Democratic Republic of the Congo,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups
China,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy
China,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,Unhealthy for Sensitive Groups
China,69,Moderate,2,Good,48,Good,0,Good,69,Moderate
United States of America,47,Good,1,Good,34,Good,3,Good,47,Good
Germany,69,Moderate,1,Good,34,Good,4,Good,69,Moderate
United States of America,84,Moderate,3,Good,9,Good,24,Good,84,Moderate
Belgium,64,Moderate,1,Good,32,Good,6,Good,64,Moderate
Canada,20,Good,1,Good,20,Good,1,Good,10,Good
Ireland,38,Good,1,Good,30,Good,3,Good,38,Good
Switzerland,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
Germany,67,Moderate,1,Good,30,Good,5,Good,67,Moderate
United States of America,75,Moderate,2,Good,13,Good,16,Good,75,Moderate
United States of America,60,Moderate,2,Good,18,Good,21,Good,60,Moderate
Brazil,22,Good,1,Good,13,Good,0,Good,22,Good
Denmark,36,Good,1,Good,36,Good,0,Good,25,Good
United States of America,41,Good,1,Good,30,Good,8,Good,41,Good
Germany,44,Good,1,Good,28,Good,2,Good,44,Good
Japan,29,Good,1,Good,26,Good,1,Good,29,Good
China,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
United Kingdom of Great Britain and Northern Ireland,25,Good,1,Good,25,Good,3,Good,23,Good
Germany,41,Good,1,Good,26,Good,4,Good,41,Good
Germany,36,Good,0,Good,33,Good,1,Good,36,Good
Cameroon,59,Moderate,2,Good,12,Good,0,Good,59,Moderate
Somalia,98,Moderate,0,Good,17,Good,0,Good,98,Moderate
Netherlands,35,Good,0,Good,33,Good,2,Good,35,Good
Australia,29,Good,0,Good,29,Good,0,Good,13,Good
Germany,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
Colombia,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups
Russian Federation,35,Good,1,Good,35,Good,0,Good,17,Good
United Kingdom of Great Britain and Northern Ireland,35,Good,1,Good,30,Good,4,Good,35,Good
Portugal,27,Good,0,Good,27,Good,2,Good,21,Good
Russian Federation,48,Good,1,Good,39,Good,1,Good,48,Good
India,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
Côte d'Ivoire,54,Moderate,1,Good,25,Good,0,Good,54,Moderate
United States of America,61,Moderate,2,Good,26,Good,16,Good,61,Moderate
Sweden,36,Good,1,Good,36,Good,1,Good,30,Good
United States of America,42,Good,1,Good,42,Good,2,Good,37,Good
Germany,42,Good,0,Good,32,Good,1,Good,42,Good
China,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy
Ethiopia,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups
Nigeria,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,Unhealthy for Sensitive Groups
Italy,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate
Germany,40,Good,1,Good,30,Good,2,Good,40,Good
Japan,45,Good,1,Good,45,Good,0,Good,38,Good
Thailand,65,Moderate,1,Good,34,Good,0,Good,65,Moderate
Indonesia,17,Good,1,Good,13,Good,0,Good,17,Good
Russian Federation,52,Moderate,1,Good,39,Good,1,Good,52,Moderate
Japan,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate
Poland,44,Good,1,Good,33,Good,1,Good,44,Good
Hungary,50,Good,1,Good,41,Good,1,Good,50,Good
Hungary,72,Moderate,1,Good,42,Good,1,Good,72,Moderate
Tunisia,49,Good,1,Good,49,Good,1,Good,32,Good
India,127,Unhealthy for Sensitive Groups,2,Good,65,Moderate,1,Good,127,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate
Philippines,41,Good,1,Good,25,Good,1,Good,41,Good
Japan,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Japan,47,Good,1,Good,47,Good,1,Good,44,Good
Japan,36,Good,1,Good,36,Good,3,Good,34,Good
India,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy
Philippines,37,Good,1,Good,19,Good,0,Good,37,Good
Russian Federation,46,Good,1,Good,27,Good,1,Good,46,Good
Kazakhstan,69,Moderate,1,Good,42,Good,0,Good,69,Moderate
United States of America,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
Israel,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
Japan,58,Moderate,1,Good,43,Good,3,Good,58,Moderate
Romania,41,Good,1,Good,41,Good,0,Good,38,Good
Philippines,35,Good,1,Good,20,Good,0,Good,35,Good
Indonesia,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Turkey,45,Good,0,Good,45,Good,0,Good,43,Good
India,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
China,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups
China,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
Poland,35,Good,1,Good,35,Good,0,Good,17,Good
Poland,48,Good,1,Good,35,Good,1,Good,48,Good
Belgium,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
Belgium,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
China,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
China,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy
China,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
Mexico,75,Moderate,2,Good,9,Good,6,Good,75,Moderate
Mexico,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
Russian Federation,35,Good,1,Good,35,Good,0,Good,21,Good
Netherlands,30,Good,0,Good,30,Good,2,Good,29,Good
Spain,47,Good,1,Good,21,Good,2,Good,47,Good
Italy,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
Côte d'Ivoire,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups
Mexico,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy
United States of America,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
United States of America,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
India,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy
Nigeria,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,Unhealthy for Sensitive Groups
France,55,Moderate,1,Good,26,Good,3,Good,55,Moderate
Myanmar,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,Unhealthy for Sensitive Groups
United States of America,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
Russian Federation,50,Good,1,Good,36,Good,1,Good,50,Good
Belgium,35,Good,1,Good,25,Good,3,Good,35,Good
Canada,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
Brazil,13,Good,1,Good,12,Good,1,Good,13,Good
